"144585.99";2282829;"25/06/2023";"27/06/2023";2;04411;101539;0;11;58;07
"263191.58";2283239;"25/06/2023";"27/06/2023";2;18242;101734;0;11;58;07
"81958.61";2276826;"25/06/2023";"27/06/2023";2;18242;101733;0;12;59;07
"186421.26";2252146;"25/06/2023";"27/06/2023";3;17468;101595;0;16;47;07
"176265.56";2282887;"25/06/2023";"27/06/2023";4;17651;101789;0;11;35;07
"379518.94";2270762;"25/06/2023";"27/06/2023";3;17468;101596;0;13;46;07
"384513.27";2256425;"25/06/2023";"27/06/2023";1;17585;101392;2;15;59;06
"165327.33";2296587;"25/06/2023";"27/06/2023";2;18517;101801;0;09;57;64
"204932.23";2269900;"25/06/2023";"27/06/2023";3;17714;101673;0;13;47;64
"80187.43";2264668;"25/06/2023";"27/06/2023";3;17714;101455;0;14;27;64
"122208.09";2271361;"25/06/2023";"27/06/2023";4;14328;101710;1;13;35;07
"316901.1";2271035;"25/06/2023";"27/06/2023";4;17574;101544;2;13;43;07
"527395.75";2271119;"25/06/2023";"27/06/2023";4;17574;101575;2;13;44;07
"70585.17";2283038;"25/06/2023";"27/06/2023";1;18043;101773;0;11;58;07
"164912.36";2271163;"25/06/2023";"27/06/2023";4;17574;101648;2;13;46;07
"40809.18";2270134;"25/06/2023";"27/06/2023";1;18043;101720;0;13;59;07
"330923.65";2271209;"25/06/2023";"27/06/2023";4;17574;101543;1;13;42;07
"208257.59";2276517;"25/06/2023";"27/06/2023";1;18152;101664;0;12;57;07
"332239.78";2296088;"25/06/2023";"27/06/2023";4;17574;101603;2;09;42;07
"248155.62";2271078;"25/06/2023";"27/06/2023";4;17574;101541;1;13;41;07
"262082.96";2237518;"25/06/2023";"27/06/2023";2;17360;101442;1;19;47;07
"92181.32";2217996;"25/06/2023";"27/06/2023";3;17696;101439;0;23;35;07
"148450.99";2259205;"25/06/2023";"27/06/2023";2;18022;101624;1;15;47;07
"402100.36";2245481;"25/06/2023";"27/06/2023";1;17573;101441;0;18;44;07
